Member,First,Last,State,Party,Nay,Yea,Not Voting,Present,Total
Alexander (R-TN),Lamar,Alexander,TN,R,33.08,63.12,3.8,0.0,263
Ayotte (R-NH),Kelly,Ayotte,NH,R,27.0,72.62,0.38,0.0,263
Baldwin (D-WI),Tammy,Baldwin,WI,D,41.44,58.56,0.0,0.0,263
Barrasso (R-WY),John,Barrasso,WY,R,34.6,65.4,0.0,0.0,263
Bennet (D-CO),Michael,Bennet,CO,D,34.6,65.4,0.0,0.0,263
Blumenthal (D-CT),Richard,Blumenthal,CT,D,40.68,58.94,0.38,0.0,263
Blunt (R-MO),Roy,Blunt,MO,R,35.36,60.84,3.8,0.0,263
Booker (D-NJ),Cory,Booker,NJ,D,41.83,57.03,1.14,0.0,263
Boozman (R-AR),John,Boozman,AR,R,34.22,64.64,1.14,0.0,263
Boxer (D-CA),Barbara,Boxer,CA,D,36.12,54.37,9.51,0.0,263
Brown (D-OH),Sherrod ,Brown,OH,D,42.21,56.27,1.52,0.0,263
Burr (R-NC),Richard,Burr,NC,R,33.08,66.54,0.38,0.0,263
Cantwell (D-WA),Maria,Cantwell,WA,D,37.64,62.36,0.0,0.0,263
Capito (R-WV),Shelley,Capito,WV,R,32.32,66.92,0.76,0.0,263
Cardin (D-MD),Ben,Cardin,MD,D,41.06,58.94,0.0,0.0,263
Carper (D-DE),Thomas,Carper,DE,D,38.02,60.84,1.14,0.0,263
Casey (D-PA),Bob,Casey,PA,D,39.16,60.46,0.38,0.0,263
Cassidy (R-LA),Bill,Cassidy,LA,R,33.08,65.4,1.52,0.0,263
Coats (R-IN),Dan,Coats,IN,R,36.12,62.36,1.52,0.0,263
Cochran (R-MS),Thad,Cochran,MS,R,34.98,64.26,0.76,0.0,263
Collins (R-ME),Susan,Collins,ME,R,29.66,70.34,0.0,0.0,263
Coons (D-DE),Christopher,Coons,DE,D,34.6,60.84,4.56,0.0,263
Corker (R-TN),Bob,Corker,TN,R,32.7,63.88,3.42,0.0,263
Cornyn (R-TX),John,Cornyn,TX,R,33.84,65.78,0.38,0.0,263
Cotton (R-AR),Tom,Cotton,AR,R,39.16,60.08,0.76,0.0,263
Crapo (R-ID),Mike,Crapo,ID,R,38.02,60.46,1.52,0.0,263
Cruz (R-TX),Ted,Cruz,TX,R,34.22,42.97,22.81,0.0,263
Daines (R-MT),Steve,Daines,MT,R,35.74,64.26,0.0,0.0,263
Donnelly (D-IN),Joe,Donnelly,IN,D,32.7,66.16,1.14,0.0,263
Durbin (D-IL),Richard,Durbin,IL,D,38.78,60.46,0.76,0.0,263
Enzi (R-WY),Mike,Enzi,WY,R,32.32,63.12,4.56,0.0,263
Ernst (R-IA),Joni,Ernst,IA,R,34.22,65.78,0.0,0.0,263
Feinstein (D-CA),Dianne,Feinstein,CA,D,34.6,61.6,3.8,0.0,263
Fischer (R-NE),Deb,Fischer,NE,R,36.5,63.5,0.0,0.0,263
Flake (R-AZ),Jeff,Flake,AZ,R,36.12,60.46,3.42,0.0,263
Franken (D-MN),Al,Franken,MN,D,39.16,58.17,2.66,0.0,263
Gardner (R-CO),Cory,Gardner,CO,R,32.32,66.92,0.76,0.0,263
Gillibrand (D-NY),Kirsten,Gillibrand,NY,D,43.35,56.27,0.38,0.0,263
Graham (R-SC),Lindsey,Graham,SC,R,24.33,52.09,23.57,0.0,263
Grassley (R-IA),Chuck,Grassley,IA,R,32.7,67.3,0.0,0.0,263
Hatch (R-UT),Orrin,Hatch,UT,R,34.22,65.02,0.38,0.38,263
Heinrich (D-NM),Martin,Heinrich,NM,D,40.68,58.56,0.76,0.0,263
Heitkamp (D-ND),Heidi,Heitkamp,ND,D,30.8,69.2,0.0,0.0,263
Heller (R-NV),Dean,Heller,NV,R,31.18,67.3,1.52,0.0,263
Hirono (D-HI),Mazie,Hirono,HI,D,41.06,58.56,0.38,0.0,263
Hoeven (R-ND),John,Hoeven,ND,R,30.42,68.82,0.76,0.0,263
Inhofe (R-OK),Jim,Inhofe,OK,R,34.98,64.26,0.76,0.0,263
Isakson (R-GA),Johnny,Isakson,GA,R,32.7,66.54,0.76,0.0,263
Johnson (R-WI),Ron,Johnson,WI,R,29.66,70.34,0.0,0.0,263
Kaine (D-VA),Timothy,Kaine,VA,D,36.88,63.12,0.0,0.0,263
King (I-ME),Angus,King,ME,I,35.36,60.84,3.8,0.0,263
Kirk (R-IL),Mark,Kirk,IL,R,26.24,66.54,7.22,0.0,263
Klobuchar (D-MN),Amy,Klobuchar,MN,D,38.02,61.6,0.38,0.0,263
Lankford (R-OK),James,Lankford,OK,R,38.4,61.6,0.0,0.0,263
Leahy (D-VT),Patrick,Leahy,VT,D,40.3,59.32,0.38,0.0,263
Lee (R-UT),Mike,Lee,UT,R,43.35,49.05,7.6,0.0,263
Manchin (D-WV),Joe,Manchin,WV,D,33.46,64.64,1.9,0.0,263
Markey (D-MA),Edward,Markey,MA,D,42.21,55.13,2.66,0.0,263
McCain (R-AZ),John,McCain,AZ,R,30.42,66.92,2.66,0.0,263
McCaskill (D-MO),Claire,McCaskill,MO,D,31.94,65.02,3.04,0.0,263
McConnell (R-KY),Mitch,McConnell,KY,R,38.4,61.6,0.0,0.0,263
Menendez (D-NJ),Robert,Menendez,NJ,D,41.44,56.27,2.28,0.0,263
Merkley (D-OR),Jeff,Merkley,OR,D,42.21,57.03,0.76,0.0,263
Mikulski (D-MD),Barbara,Mikulski,MD,D,38.4,56.27,5.32,0.0,263
Moran (R-KS),Jerry,Moran,KS,R,36.12,59.7,4.18,0.0,263
Murkowski (R-AK),Lisa,Murkowski,AK,R,32.32,63.88,3.8,0.0,263
Murphy (D-CT),Christopher,Murphy,CT,D,42.21,57.41,0.38,0.0,263
Murray (D-WA),Patty,Murray,WA,D,36.5,62.36,1.14,0.0,263
Nelson (D-FL),Bill,Nelson,FL,D,34.6,56.65,8.75,0.0,263
Paul (R-KY),Rand,Paul,KY,R,42.97,55.89,1.14,0.0,263
Perdue (R-GA),David,Perdue,GA,R,39.92,60.08,0.0,0.0,263
Peters (D-MI),Gary,Peters,MI,D,39.16,59.32,1.52,0.0,263
Portman (R-OH),Rob,Portman,OH,R,26.62,71.48,1.9,0.0,263
Reed (D-RI),John,Reed,RI,D,42.59,57.41,0.0,0.0,263
Reid (D-NV),Harry,Reid,NV,D,33.08,46.01,20.91,0.0,263
Risch (R-ID),James ,Risch,ID,R,38.4,60.84,0.76,0.0,263
Roberts (R-KS),Pat,Roberts,KS,R,34.98,64.64,0.38,0.0,263
Rounds (R-SD),Mike,Rounds,SD,R,32.32,67.3,0.38,0.0,263
Rubio (R-FL),Marco,Rubio,FL,R,27.38,43.35,29.28,0.0,263
Sanders (I-VT),Bernie,Sanders,VT,I,42.21,54.37,3.42,0.0,263
Sasse (R-NE),Ben,Sasse,NE,R,40.3,58.94,0.76,0.0,263
Schatz (D-HI),Brian,Schatz,HI,D,38.02,60.84,1.14,0.0,263
Schumer (D-NY),Charles,Schumer,NY,D,41.83,57.41,0.76,0.0,263
Scott (R-SC),Timothy,Scott,SC,R,36.12,62.36,1.52,0.0,263
Sessions (R-AL),Jefferson,Sessions,AL,R,39.16,59.32,1.52,0.0,263
Shaheen (D-NH),Jeanne,Shaheen,NH,D,36.12,63.5,0.38,0.0,263
Shelby (R-AL),Richard,Shelby,AL,R,41.06,56.65,2.28,0.0,263
Stabenow (D-MI),Debbie,Stabenow,MI,D,38.78,60.08,1.14,0.0,263
Sullivan (R-AK),Dan,Sullivan,AK,R,34.22,62.74,3.04,0.0,263
Tester (D-MT),Jon,Tester,MT,D,39.16,60.46,0.38,0.0,263
Thune (R-SD),John,Thune,SD,R,31.56,67.68,0.76,0.0,263
Tillis (R-NC),Thomas,Tillis,NC,R,34.98,65.02,0.0,0.0,263
Toomey (R-PA),Pat,Toomey,PA,R,35.74,58.17,6.08,0.0,263
Udall (D-NM),Tom,Udall,NM,D,41.44,57.41,1.14,0.0,263
Vitter (R-LA),David,Vitter,LA,R,32.7,56.65,10.65,0.0,263
Warner (D-VA),Mark,Warner,VA,D,36.5,61.22,2.28,0.0,263
Warren (D-MA),Elizabeth,Warren,MA,D,44.49,55.51,0.0,0.0,263
Whitehouse (D-RI),Sheldon,Whitehouse,RI,D,40.3,59.7,0.0,0.0,263
Wicker (R-MS),Roger,Wicker,MS,R,34.6,64.26,1.14,0.0,263
Wyden (D-OR),Ron,Wyden,OR,D,40.68,58.56,0.76,0.0,263
